titre,annee,realisateur,note_presse,note_spectateurs,url
Le Château ambulant de Hayao Miyazaki,2004,Hayao Miyazaki,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=50409.html
Napoléon de Abel Gance,1927,Abel Gance,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=645.html
Les Nuits de Cabiria de Federico Fellini,1957,Federico Fellini,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4479.html
1917 de Sam Mendes,2019,Sam Mendes,4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=265567.html
Les Tontons flingueurs de Georges Lautner,1963,Georges Lautner,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4327.html
Lettre d'une inconnue de Max Ophüls,1948,Max Ophüls,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=2681.html
Demon Slayer: Kimetsu no Yaiba La Forteresse Infinie Film 1 de Haruo Sotozaki,2025,Haruo Sotozaki,3.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000006302.html
Le Fanfaron de Dino Risi,1962,Dino Risi,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1333.html
Reservoir Dogs de Quentin Tarantino,1992,Quentin Tarantino,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=7524.html
Alabama Monroe de Felix Van Groeningen,2012,Felix Van Groeningen,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=216955.html
Là-haut de Pete Docter et Bob Peterson,2009,Pete Docter,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=130368.html
Sixième Sens de M. Night Shyamalan,1999,M. Night Shyamalan,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=22092.html
Les Misérables - Liberté liberté chérie de Raymond Bernard,1933,Raymond Bernard,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=141855.html
Nuages flottants de Mikio Naruse,1955,Mikio Naruse,4.3,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1930.html
Umberto D. de Vittorio De Sica,1952,Vittorio De Sica,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2303.html
Le Cercle des poètes disparus de Peter Weir,1989,Peter Weir,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=5280.html
Chantons sous la pluie de Stanley Donen et Gene Kelly,1952,Stanley Donen,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=5120.html
La Mort aux trousses de Alfred Hitchcock,1959,Alfred Hitchcock,4.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=531.html
The Truman Show de Peter Weir,1998,Peter Weir,3.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=18671.html
Quand passent les cigognes de Mikhail Kalatozov,1957,Mikhail Kalatozov,4.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2043.html
La Vie est belle de Frank Capra,1946,Frank Capra,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=5762.html
Warrior de Gavin O'Connor,2011,Gavin O'Connor,3.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=138673.html
