titre,url,source,date_publi,resume,score_alerte
1 527 ch et un aileron géant : la nouvelle Xiaomi ultra-musclée veut arracher le record absolu du Nürburgring à Porsche,https://www.01net.com/actualites/1-527-ch-aileron-geant-nouvelle-xiaomi-battre-record-absolu-nurburgring-contre-porsche.html,www.01net.com,"Wed, 29 Jul 2026 12:46:17 +0000","Voilà des querelles interminables ! Savoir qui conservera le titre de la voiture de série la plus rapide sur le Nürburgring fait partie de ces disputes passionnantes. Avec sa dernière création, Xiaomi tente en ce sens de détrôner Porsche, actuel titulaire du record.",1
Google Docs s’appuie désormais sur Gemini pour illustrer vos documents,https://www.01net.com/actualites/google-docs-sappuie-desormais-sur-gemini-pour-generer-des-visuels-dans-vos-documents.html,www.01net.com,"Wed, 29 Jul 2026 12:00:41 +0000","Google vient d’annoncer l’intégration de Gemini dans Google Docs. L’intelligence artificielle pourra être exploitée pour créer et modifier des visuels, mais aussi générer des diagrammes et des infographies.",1
OpenAI fait une révélation inattendue sur la cyberattaque lancée par un ChatGPT tricheur,https://www.01net.com/actualites/cyberattaque-menee-ia-openai-fait-revelation-inattendue.html,www.01net.com,"Wed, 29 Jul 2026 11:13:56 +0000","Deux IA d'OpenAI se sont échappées de leur cage numérique et ont piraté Hugging Face en toute autonomie. Une semaine après les faits, OpenAI révèle que la cyberattaque ne s'est pas limitée à la plateforme open source. On apprend aussi que l'IA cherchait à tricher à un examen lorsqu'elle s'est évadée",1
Les prochains appareils Apple pour la maison connectée pourraient n’avoir aucun intérêt en Europe,https://www.01net.com/actualites/pourquoi-les-prochains-appareils-domotiques-dapple-pourraient-navoir-aucun-interet-en-europe.html,www.01net.com,"Wed, 29 Jul 2026 10:21:50 +0000",Apple s’apprête à lancer sa nouvelle gamme de produits domotiques. Mais la promesse d’une intégration totale de Siri AI s’accompagne d’un sérieux problème pour les clients européens.,1
Airbus bat un record historique avec un vol de plus de 24 heures sans escale,https://www.01net.com/actualites/airbus-bat-record-historique-vol-plus-24-heures-sans-escale.html,www.01net.com,"Wed, 29 Jul 2026 09:00:02 +0000","Après plus de 24 h de vol sans escale, l’Airbus A350-1000ULR a atterri sur le tarmac de l’aéroport de Toulouse. S’il ne s’agissait que d’un vol d’essai, les premiers vols commerciaux débuteront en 2027.",1
Windows 11 : Microsoft installe sa nouvelle application OneDrive Photos sans prévenir,https://www.01net.com/actualites/windows-11-microsoft-installe-sa-nouvelle-application-onedrive-photos-sans-prevenir.html,www.01net.com,"Wed, 29 Jul 2026 08:35:39 +0000",Microsoft a déployé en toute discrétion une nouvelle application OneDrive Photos sur Windows 11. L’application s’installe sans vous demander votre avis par l’intermédiaire d’une mise à jour du système d’exploitation.,1
"Claude a trouvé 2 failles dans des algorithmes jugés indestructibles, c’est une première… et ça change tout",https://www.01net.com/actualites/claude-trouve-2-failles-algorithmes-chiffrement-premiere-change-tout.html,www.01net.com,"Wed, 29 Jul 2026 08:19:12 +0000","Claude Mythos continue de faire des prouesses… et des découvertes préoccupantes. Pour la première fois, l'IA a déniché deux failles mathématiques inédites dans des algorithmes de chiffrement. Avec ces deux découvertes, l'IA vient de prouver qu'elle peut faire vaciller des fondations mathématiques ju",1
Fin des jeux PS5 physiques : les joueurs PlayStation organisent un boycott mondial,https://www.01net.com/actualites/fin-des-jeux-ps5-physiques-les-joueurs-playstation-organisent-un-boycott-mondial.html,www.01net.com,"Wed, 29 Jul 2026 06:31:39 +0000","Éteindre la console pour se faire entendre : du 23 au 30 août, des joueurs promettent de bouder PlayStation, ses serveurs et sa boutique. En France, une pétition interpelle déjà la ministre chargée du Numérique.",1
«Urgence humanitaire et sociale absolue» : plus de 1500 migrants arrivent à la nage dans l’enclave espagnole de Ceuta depuis le Maroc,https://www.lefigaro.fr/international/urgence-humanitaire-et-sociale-absolue-plus-de-1500-migrants-arrivent-a-la-nage-dans-l-enclave-espagnole-de-ceuta-depuis-le-maroc-20260730,www.lefigaro.fr,"Thu, 30 Jul 2026 15:05:54 +0200","Environ 1500 migrants sont arrivés par la mer à Ceuta, enclave espagnole située au nord du Maroc, ces derniers jours. Les centres d’accueil sont saturés.",1
"«Nous avons livré les objectifs figurant dans la feuille de route»: en charge de l’entretien des Canadair, Sabena Technics répond aux critiques",https://www.lefigaro.fr/societes/nous-avons-livre-les-objectifs-figurant-dans-la-feuille-de-route-en-charge-de-l-entretien-des-canadair-sabena-technics-repond-aux-critiques-20260729,www.lefigaro.fr,"Wed, 29 Jul 2026 18:10:14 +0200","Le groupe français, leader de la maintenance aéronautique, détient, depuis 1998, le contrat exclusif d’entretien des Canadair, Dash et Beechcraft de la sécurité civile.",1
"Il voulait «mettre le feu» : dans le Var, un Tunisien condamné à un an de prison pour avoir provoqué un incendie",https://www.lefigaro.fr/marseille/il-voulait-mettre-le-feu-dans-le-var-un-tunisien-condamne-a-un-an-de-prison-pour-avoir-provoque-un-incendie-20260730,www.lefigaro.fr,"Thu, 30 Jul 2026 12:25:12 +0200","Cet incendiaire de 39 ans avait tenté d’incendier de la végétation au bord d’une route d’Ollioules. Déjà connu de la justice, il a été condamné à 12 mois d’emprisonnement et une interdiction du territoire français pendant cinq ans.",1
Départ de feux : des sanctions plus sévères pour les incendiaires ?,https://www.lefigaro.fr/actualite-france/depart-de-feux-des-sanctions-plus-severes-pour-les-incendiaires-20260729,www.lefigaro.fr,"Wed, 29 Jul 2026 18:33:53 +0200","DÉCRYPTAGE - Alors que 184 personnes ont été interpellées pour avoir provoqué des feux, le député UDR Matthieu Bloch vient de déposer une proposition de loi pour encore renforcer les peines.",1
Comment tirer des revenus de sa résidence principale sans la vendre,https://www.lefigaro.fr/placement/comment-tirer-des-revenus-de-sa-residence-principale-sans-la-vendre-20260730,www.lefigaro.fr,"Thu, 30 Jul 2026 07:30:00 +0200","NOS CONSEILS - Les Français n’ont jamais détenu autant d’immobilier. Mais ce patrimoine, totalement illiquide, ne rapporte rien, ne paie ni les travaux, ni l’aide à domicile, ni le coup de pouce que l’on rêverait de donner à ses enfants. Pourtant, il est possible de monétiser sa résidence principale",1
Où acheter une résidence secondaire dans les Cévennes ? Découvrez notre classement,https://immobilier.lefigaro.fr/article/ou-acheter-une-residence-secondaire-dans-les-cevennes-decouvrez-notre-classement-20260730,www.lefigaro.fr,"Thu, 30 Jul 2026 07:00:00 +0200","EXCLUSIF - Environnement, attrait touristique, loisirs, commerces, immobilier, fiscalité… Sur la base de 52 critères variés, nous avons comparé 46 communes du Parc national des Cévennes, pour identifier l’endroit idéal où se réfugier au vert en moyenne montagne.",1
